Age,Vehicle_Use,Age_category,Vehicle_Use,Severity,Claim_Count
17-20,Pleasure,1,1,250.48,21
17-20,DriveShort,1,1,274.78,40
17-20,DriveLong,1,2,244.52,23
17-20,Business,1,2,797.8,5
21-24,Pleasure,2,1,213.71,63
21-24,DriveShort,2,1,298.6,171
21-24,DriveLong,2,2,298.13,92
21-24,Business,2,2,362.23,44
25-29,Pleasure,3,1,250.57,140
25-29,DriveShort,3,1,248.56,343
25-29,DriveLong,3,2,297.9,318
25-29,Business,3,2,342.31,129
30-34,Pleasure,4,1,229.09,123
30-34,DriveShort,4,1,228.48,448
30-34,DriveLong,4,2,293.87,361
30-34,Business,4,2,367.46,169
35-39,Pleasure,5,1,153.62,151
35-39,DriveShort,5,1,201.67,479
35-39,DriveLong,5,2,238.21,381
35-39,Business,5,2,256.21,166
40-49,Pleasure,6,1,208.59,245
40-49,DriveShort,6,1,202.8,970
40-49,DriveLong,6,2,236.06,719
40-49,Business,6,2,352.49,304
50-59,Pleasure,7,1,207.57,266
50-59,DriveShort,7,1,202.67,859
50-59,DriveLong,7,2,253.63,504
50-59,Business,7,2,340.56,162
60+,Pleasure,8,1,192,260
60+,DriveShort,8,1,196.33,578
60+,DriveLong,8,2,259.79,312
60+,Business,8,2,342.58,96
